seed_base,run_id,proxy_clear_rate,proxy_damage_per_min,proxy_survival_time,proxy_input_density,q_a,q_intro,q_success_fb,q_d,q_c,q_e
20260527,20260527,0,6.9124,8.68,20.7373,5,4.5,3,4,4.5,5
20260527,20260528,0,6.9124,8.68,20.7373,5,4.5,3,4,4.5,5
20260527,20260529,0,6.9124,8.68,20.7373,5,4.5,3,4,4.5,5
20260527,20260530,0,6.9124,8.68,20.7373,5,4.5,3,4,4.5,5
20260527,20260531,0,6.9124,8.68,20.7373,5,4.5,3,4,4.5,5
20260527,20260532,0,6.9124,8.68,20.7373,5,4.5,3,4,4.5,5
20260527,20260533,0,6.9124,8.68,20.7373,5,4.5,3,4,4.5,5
20260527,20260534,0,6.9124,8.68,20.7373,5,4.5,3,4,4.5,5
20260527,20260535,0,6.9124,8.68,20.7373,5,4.5,3,4,4.5,5
20260527,20260536,0,6.9124,8.68,20.7373,5,4.5,3,4,4.5,5
20260527,20260537,0,6.9124,8.68,20.7373,5,4.5,3,4,4.5,5
20260527,20260538,0,6.9124,8.68,20.7373,5,4.5,3,4,4.5,5
20260527,20260539,0,6.9124,8.68,20.7373,5,4.5,3,4,4.5,5
20260527,20260540,0,6.9124,8.68,20.7373,5,4.5,3,4,4.5,5
20260527,20260541,0,6.9124,8.68,20.7373,5,4.5,3,4,4.5,5
20260527,20260542,0,6.9124,8.68,20.7373,5,4.5,3,4,4.5,5
20260527,20260543,0,6.9124,8.68,20.7373,5,4.5,3,4,4.5,5
20260527,20260544,0,6.9124,8.68,20.7373,5,4.5,3,4,4.5,5
20260527,20260545,0,6.9124,8.68,20.7373,5,4.5,3,4,4.5,5
20260527,20260546,0,6.9124,8.68,20.7373,5,4.5,3,4,4.5,5
20260527,20260547,0,6.9124,8.68,20.7373,5,4.5,3,4,4.5,5
20260527,20260548,0,6.9124,8.68,20.7373,5,4.5,3,4,4.5,5
20260527,20260549,0,6.9124,8.68,20.7373,5,4.5,3,4,4.5,5
20260527,20260550,0,6.9124,8.68,20.7373,5,4.5,3,4,4.5,5
20260527,20260551,0,6.9124,8.68,20.7373,5,4.5,3,4,4.5,5
20260527,20260552,0,6.9124,8.68,20.7373,5,4.5,3,4,4.5,5
20260527,20260553,0,6.9124,8.68,20.7373,5,4.5,3,4,4.5,5
20260527,20260554,0,6.9124,8.68,20.7373,5,4.5,3,4,4.5,5
20260527,20260555,0,6.9124,8.68,20.7373,5,4.5,3,4,4.5,5
20260527,20260556,0,6.9124,8.68,20.7373,5,4.5,3,4,4.5,5
