seed_base,v_label,run_id,proxy_clear_rate,proxy_damage_per_min,proxy_survival_time,proxy_input_density,q_a,q_intro,q_success_fb,q_d,q_c,q_e
1000000,v001,1000000,0,0.9524,63,20,5,4,3,3.5,,5
1000000,v002,1000000,0,0.9524,63,20,5,4.5,3,4.5,4.5,5
1000000,v003,1000000,0,0.9524,63,20,5,4.5,3,4.5,4.5,5
1000000,v001,1000001,0,2.1645,27.72,19.4805,5,4,3,3.5,,5
1000000,v002,1000001,0,2.1645,27.72,19.4805,5,4.5,3,4.5,4.5,5
1000000,v003,1000001,0,2.1645,27.72,19.4805,5,4.5,3,4.5,4.5,5
1000000,v001,1000002,0,6.4655,9.28,19.3966,5,4,3,3.5,,5
1000000,v002,1000002,0,6.4655,9.28,19.3966,5,4.5,3,4.5,4.5,5
1000000,v003,1000002,0,6.4655,9.28,19.3966,5,4.5,3,4.5,4.5,5
1000000,v001,1000003,0,2.2388,26.8,20.1493,5,4,3,3.5,,5
1000000,v002,1000003,0,2.2388,26.8,20.1493,5,4.5,3,4.5,4.5,5
1000000,v003,1000003,0,2.2388,26.8,20.1493,5,4.5,3,4.5,4.5,5
1000000,v001,1000004,0,2.1645,27.72,19.4805,5,4,3,3.5,,5
1000000,v002,1000004,0,2.1645,27.72,19.4805,5,4.5,3,4.5,4.5,5
1000000,v003,1000004,0,2.1645,27.72,19.4805,5,4.5,3,4.5,4.5,5
1000000,v001,1000005,1,0,90,20,5,4,3,3.5,,5
1000000,v002,1000005,1,0,90,20,5,4.5,3,4.5,4.5,5
1000000,v003,1000005,1,0,90,20,5,4.5,3,4.5,4.5,5
1000000,v001,1000006,0,2.2405,26.78,20.1643,5,4,3,3.5,,5
1000000,v002,1000006,0,2.2405,26.78,20.1643,5,4.5,3,4.5,4.5,5
1000000,v003,1000006,0,2.2405,26.78,20.1643,5,4.5,3,4.5,4.5,5
1000000,v001,1000007,0,1.3138,45.67,19.7066,5,4,3,3.5,,5
1000000,v002,1000007,0,1.3138,45.67,19.7066,5,4.5,3,4.5,4.5,5
1000000,v003,1000007,0,1.3138,45.67,19.7066,5,4.5,3,4.5,4.5,5
1000000,v001,1000008,0,2.2388,26.8,20.1493,5,4,3,3.5,,5
1000000,v002,1000008,0,2.2388,26.8,20.1493,5,4.5,3,4.5,4.5,5
1000000,v003,1000008,0,2.2388,26.8,20.1493,5,4.5,3,4.5,4.5,5
1000000,v001,1000009,0,1.3354,44.93,20.0312,5,4,3,3.5,,5
1000000,v002,1000009,0,1.3354,44.93,20.0312,5,4.5,3,4.5,4.5,5
1000000,v003,1000009,0,1.3354,44.93,20.0312,5,4.5,3,4.5,4.5,5
1000000,v001,1000010,0,6.25,9.6,18.75,5,4,3,3.5,,5
1000000,v002,1000010,0,6.25,9.6,18.75,5,4.5,3,4.5,4.5,5
1000000,v003,1000010,0,6.25,9.6,18.75,5,4.5,3,4.5,4.5,5
1000000,v001,1000011,0,1.3172,45.55,19.7585,5,4,3,3.5,,5
1000000,v002,1000011,0,1.3172,45.55,19.7585,5,4.5,3,4.5,4.5,5
1000000,v003,1000011,0,1.3172,45.55,19.7585,5,4.5,3,4.5,4.5,5
1000000,v001,1000012,0,1.3038,46.02,20.8605,5,4,3,3.5,,5
1000000,v002,1000012,0,1.3038,46.02,20.8605,5,4.5,3,4.5,4.5,5
1000000,v003,1000012,0,1.3038,46.02,20.8605,5,4.5,3,4.5,4.5,5
1000000,v001,1000013,0,0.7271,82.52,20.3587,5,4,3,3.5,,5
1000000,v002,1000013,0,0.7271,82.52,20.3587,5,4.5,3,4.5,4.5,5
1000000,v003,1000013,0,0.7271,82.52,20.3587,5,4.5,3,4.5,4.5,5
1000000,v001,1000014,0,2.1914,27.38,19.7224,5,4,3,3.5,,5
1000000,v002,1000014,0,2.1914,27.38,19.7224,5,4.5,3,4.5,4.5,5
1000000,v003,1000014,0,2.1914,27.38,19.7224,5,4.5,3,4.5,4.5,5
1000000,v001,1000015,0,2.3669,25.35,21.3018,5,4,3,3.5,,5
1000000,v002,1000015,0,2.3669,25.35,21.3018,5,4.5,3,4.5,4.5,5
1000000,v003,1000015,0,2.3669,25.35,21.3018,5,4.5,3,4.5,4.5,5
1000000,v001,1000016,0,2.1645,27.72,19.4805,5,4,3,3.5,,5
1000000,v002,1000016,0,2.1645,27.72,19.4805,5,4.5,3,4.5,4.5,5
1000000,v003,1000016,0,2.1645,27.72,19.4805,5,4.5,3,4.5,4.5,5
1000000,v001,1000017,0,2.3229,25.83,20.9059,5,4,3,3.5,,5
1000000,v002,1000017,0,2.3229,25.83,20.9059,5,4.5,3,4.5,4.5,5
1000000,v003,1000017,0,2.3229,25.83,20.9059,5,4.5,3,4.5,4.5,5
1000000,v001,1000018,0,6.4725,9.27,19.4175,5,4,3,3.5,,5
1000000,v002,1000018,0,6.4725,9.27,19.4175,5,4.5,3,4.5,4.5,5
1000000,v003,1000018,0,6.4725,9.27,19.4175,5,4.5,3,4.5,4.5,5
1000000,v001,1000019,1,0,90,20,5,4,3,3.5,,5
1000000,v002,1000019,1,0,90,20,5,4.5,3,4.5,4.5,5
1000000,v003,1000019,1,0,90,20,5,4.5,3,4.5,4.5,5
1000000,v001,1000020,1,0,90,20,5,4,3,3.5,,5
1000000,v002,1000020,1,0,90,20,5,4.5,3,4.5,4.5,5
1000000,v003,1000020,1,0,90,20,5,4.5,3,4.5,4.5,5
1000000,v001,1000021,0,1.2645,47.45,20.2318,5,4,3,3.5,,5
