seed_base,run_id,proxy_clear_rate,proxy_damage_per_min,proxy_survival_time,proxy_input_density,q_a,q_intro,q_success_fb,q_d,q_c,q_e
1000000,1000000,0,0.9524,63,20,5,4.5,3,4,4.5,5
1000000,1000001,0,2.1645,27.72,19.4805,5,4.5,3,4,4.5,5
1000000,1000002,0,6.4655,9.28,19.3966,5,4.5,3,4,4.5,5
1000000,1000003,0,2.2388,26.8,20.1493,5,4.5,3,4,4.5,5
1000000,1000004,0,2.1645,27.72,19.4805,5,4.5,3,4,4.5,5
1000000,1000005,1,0,90,20,5,4.5,3,4,4.5,5
1000000,1000006,0,2.2405,26.78,20.1643,5,4.5,3,4,4.5,5
1000000,1000007,0,1.3138,45.67,19.7066,5,4.5,3,4,4.5,5
1000000,1000008,0,2.2388,26.8,20.1493,5,4.5,3,4,4.5,5
1000000,1000009,0,1.3354,44.93,20.0312,5,4.5,3,4,4.5,5
1000000,1000010,0,6.25,9.6,18.75,5,4.5,3,4,4.5,5
1000000,1000011,0,1.3172,45.55,19.7585,5,4.5,3,4,4.5,5
1000000,1000012,0,1.3038,46.02,20.8605,5,4.5,3,4,4.5,5
1000000,1000013,0,0.7271,82.52,20.3587,5,4.5,3,4,4.5,5
1000000,1000014,0,2.1914,27.38,19.7224,5,4.5,3,4,4.5,5
1000000,1000015,0,2.3669,25.35,21.3018,5,4.5,3,4,4.5,5
1000000,1000016,0,2.1645,27.72,19.4805,5,4.5,3,4,4.5,5
1000000,1000017,0,2.3229,25.83,20.9059,5,4.5,3,4,4.5,5
1000000,1000018,0,6.4725,9.27,19.4175,5,4.5,3,4,4.5,5
1000000,1000019,1,0,90,20,5,4.5,3,4,4.5,5
1000000,1000020,1,0,90,20,5,4.5,3,4,4.5,5
1000000,1000021,0,1.2645,47.45,20.2318,5,4.5,3,4,4.5,5
1000000,1000022,0,2.3256,25.8,20.9302,5,4.5,3,4,4.5,5
1000000,1000023,0,2.3885,25.12,21.4968,5,4.5,3,4,4.5,5
1000000,1000024,0,1.3172,45.55,19.7585,5,4.5,3,4,4.5,5
1000000,1000025,0,0.9444,63.53,19.8331,5,4.5,3,4,4.5,5
1000000,1000026,0,6.4725,9.27,19.4175,5,4.5,3,4,4.5,5
1000000,1000027,0,2.381,25.2,21.4286,5,4.5,3,4,4.5,5
1000000,1000028,0,2.1676,27.68,19.5087,5,4.5,3,4,4.5,5
1000000,1000029,0,0.9764,61.45,20.5045,5,4.5,3,4,4.5,5
2000000,2000000,0,0.9659,62.12,20.2833,5,4.5,3,4,4.5,5
2000000,2000001,0,1.3158,45.6,19.7368,5,4.5,3,4,4.5,5
2000000,2000002,0,2.243,26.75,20.1869,5,4.5,3,4,4.5,5
2000000,2000003,0,0.9521,63.02,19.9937,5,4.5,3,4,4.5,5
2000000,2000004,0,0.7268,82.55,20.3513,5,4.5,3,4,4.5,5
2000000,2000005,0,2.3933,25.07,21.5397,5,4.5,3,4,4.5,5
2000000,2000006,0,0.7275,82.47,20.371,5,4.5,3,4,4.5,5
2000000,2000007,0,2.2371,26.82,20.1342,5,4.5,3,4,4.5,5
2000000,2000008,1,0,90,20,5,4.5,3,4,4.5,5
2000000,2000009,0,0.9524,63,20,5,4.5,3,4,4.5,5
2000000,2000010,0,0.9356,64.13,20.5832,5,4.5,3,4,4.5,5
