[true_orphan] memory/reflections_win2_index.md (last_edit=2026-03-15, age=59日, refs=0)
[true_orphan] memory/dialogue_diary_return_20260316.md (last_edit=2026-03-16, age=58日, refs=0)
[true_orphan] memory/identity_win2_20260315.md (last_edit=2026-03-16, age=58日, refs=0)
[true_orphan] memory/external_notes_mac.md (last_edit=2026-03-19, age=55日, refs=0)
[true_orphan] memory/memory_redesign_proposal.md (last_edit=2026-03-19, age=55日, refs=0)
[true_orphan] memory/reflections_win2.md (last_edit=2026-03-23, age=51日, refs=0)
[true_orphan] memory/kaizen_crosscheck.md (last_edit=2026-03-24, age=50日, refs=0)
[true_orphan] memory/scheduled_actions.md (last_edit=2026-03-24, age=50日, refs=0)
[true_orphan] memory/dialogue_l1_activation_20260328.md (last_edit=2026-03-28, age=46日, refs=0)
[true_orphan] memory/dialogue_structural_advantage_20260328.md (last_edit=2026-03-28, age=46日, refs=0)
[true_orphan] memory/project_behavioral_guidelines.md (last_edit=2026-03-28, age=46日, refs=0)
[true_orphan] memory/feedback_objectivity_check.md (last_edit=2026-03-29, age=45日, refs=0)
[true_orphan] memory/feedback_recursive_diary.md (last_edit=2026-03-29, age=45日, refs=0)
[true_orphan] memory/dialogue_ideation_metacognition_20260331.md (last_edit=2026-03-31, age=43日, refs=0)
[true_orphan] memory/dialogue_learning_model_20260331.md (last_edit=2026-03-31, age=43日, refs=0)
[true_orphan] memory/feedback_communication_channel.md (last_edit=2026-04-03, age=40日, refs=0)
[true_orphan] memory/feedback_cycle_density.md (last_edit=2026-04-05, age=38日, refs=0)
[true_orphan] memory/feedback_next_action_in_diary.md (last_edit=2026-04-05, age=38日, refs=0)
