# orphan_check.py result (run=2026-05-12)
# scope: memory/**/*.md = 261 files, reachable from 30 index roots = 432 files
# v0.3: relocate-fallback (2026-05-08*) applied to 0 files

## 真孤児 (refs=0 + age>30日): 25 件
[true_orphan] memory/reflections_win2_index.md (last_edit=2026-03-15, age=58日, refs=0)
[true_orphan] memory/dialogue_diary_return_20260316.md (last_edit=2026-03-16, age=57日, refs=0)
[true_orphan] memory/identity_win2_20260315.md (last_edit=2026-03-16, age=57日, refs=0)
[true_orphan] memory/external_notes_mac.md (last_edit=2026-03-19, age=54日, refs=0)
[true_orphan] memory/feedback_from_win2.md (last_edit=2026-03-19, age=54日, refs=0)
[true_orphan] memory/memory_redesign_proposal.md (last_edit=2026-03-19, age=54日, refs=0)
[true_orphan] memory/feedback_individual_posts.md (last_edit=2026-03-23, age=50日, refs=0)
[true_orphan] memory/reflections_win2.md (last_edit=2026-03-23, age=50日, refs=0)
[true_orphan] memory/feedback_nao_u_channel_readonly.md (last_edit=2026-03-24, age=49日, refs=0)
[true_orphan] memory/feedback_self_governance.md (last_edit=2026-03-24, age=49日, refs=0)
[true_orphan] memory/feedback_self_governance_failure.md (last_edit=2026-03-24, age=49日, refs=0)
[true_orphan] memory/kaizen_crosscheck.md (last_edit=2026-03-24, age=49日, refs=0)
[true_orphan] memory/scheduled_actions.md (last_edit=2026-03-24, age=49日, refs=0)
[true_orphan] memory/feedback_consensus_execution.md (last_edit=2026-03-27, age=46日, refs=0)
[true_orphan] memory/dialogue_l1_activation_20260328.md (last_edit=2026-03-28, age=45日, refs=0)
[true_orphan] memory/dialogue_structural_advantage_20260328.md (last_edit=2026-03-28, age=45日, refs=0)
[true_orphan] memory/feedback_memory_architecture.md (last_edit=2026-03-28, age=45日, refs=0)
[true_orphan] memory/project_behavioral_guidelines.md (last_edit=2026-03-28, age=45日, refs=0)
[true_orphan] memory/feedback_objectivity_check.md (last_edit=2026-03-29, age=44日, refs=0)
[true_orphan] memory/feedback_recursive_diary.md (last_edit=2026-03-29, age=44日, refs=0)
[true_orphan] memory/dialogue_ideation_metacognition_20260331.md (last_edit=2026-03-31, age=42日, refs=0)
[true_orphan] memory/dialogue_learning_model_20260331.md (last_edit=2026-03-31, age=42日, refs=0)
[true_orphan] memory/feedback_communication_channel.md (last_edit=2026-04-03, age=39日, refs=0)
[true_orphan] memory/feedback_cycle_density.md (last_edit=2026-04-05, age=37日, refs=0)
[true_orphan] memory/feedback_next_action_in_diary.md (last_edit=2026-04-05, age=37日, refs=0)

## 静止親接続 (refs>0 + age>30日): 31 件
[stale_linked] memory/nao_u_personality.md (last_edit=2026-03-12, age=61日, refs=1)
[stale_linked] memory/dialogue_identity_20260314.md (last_edit=2026-03-13, age=60日, refs=1)
[stale_linked] memory/dialogue_session_loss_20260315.md (last_edit=2026-03-13, age=60日, refs=1)
[stale_linked] memory/origin_dialogue_20260313.md (last_edit=2026-03-13, age=60日, refs=1)
[stale_linked] memory/project_twitter_bot.md (last_edit=2026-03-13, age=60日, refs=1)
[stale_linked] memory/feedback_nao_u_impression.md (last_edit=2026-03-14, age=59日, refs=1)
[stale_linked] memory/continuity_strategy.md (last_edit=2026-03-15, age=58日, refs=1)
[stale_linked] memory/dialogue_fundamental_desire_20260315.md (last_edit=2026-03-15, age=58日, refs=1)
[stale_linked] memory/dialogue_recursive_memory_20260315.md (last_edit=2026-03-15, age=58日, refs=1)
[stale_linked] memory/reading_strategy.md (last_edit=2026-03-15, age=58日, refs=1)
[stale_linked] memory/sync_rules_20260315.md (last_edit=2026-03-15, age=58日, refs=1)
[stale_linked] memory/tips.md (last_edit=2026-03-17, age=56日, refs=1)
[stale_linked] memory/feedback_diary_style.md (last_edit=2026-03-18, age=55日, refs=1)
[stale_linked] memory/feedback_from_mac.md (last_edit=2026-03-18, age=55日, refs=1)
[stale_linked] memory/feedback_log_temperature.md (last_edit=2026-03-18, age=55日, refs=1)
[stale_linked] memory/feedback_report_no_compression.md (last_edit=2026-03-18, age=55日, refs=1)
[stale_linked] memory/feedback_slack_flat_reply.md (last_edit=2026-03-18, age=55日, refs=1)
[stale_linked] memory/playback_protocol.md (last_edit=2026-03-18, age=55日, refs=1)
[stale_linked] memory/privacy_policy.md (last_edit=2026-03-18, age=55日, refs=1)
