track,frame,time,cx,cy,w,h,area
0,94,37.103,250.261,202.942,19,12,69
0,95,37.136,251.67,202.835,33,13,103
0,96,37.17,253.847,202.141,13,15,85
0,97,37.203,253.86,202.198,13,15,86
0,98,37.237,253.341,202.352,16,15,91
0,99,37.27,253.341,202.352,16,15,91
0,100,37.303,253.341,202.352,16,15,91
0,101,37.337,253.341,202.352,16,15,91
0,102,37.37,253.398,202.205,16,14,88
1,114,37.77,298.327,197.181,49,20,597
2,128,38.238,97.811,201.561,26,15,132
2,129,38.271,99.369,201.562,30,15,160
2,130,38.304,100.514,202.079,32,17,177
3,150,38.972,167.753,198.516,14,16,93
3,152,39.038,167.519,215.556,18,6,27
3,153,39.072,156.771,211.854,16,8,48
3,154,39.105,155.737,210.816,15,22,76
3,155,39.138,154.797,220.865,16,18,74
4,150,38.972,167.718,211.077,17,6,39
4,152,39.038,155.891,204.945,13,17,55
4,153,39.072,165.367,199.43,13,16,79
4,154,39.105,163.155,200.408,7,18,71
5,160,39.305,286.772,175.474,27,6,57
5,161,39.339,281.96,175.04,22,6,50
