frame,time,cx,cy,w,h,area,mean_r,mean_g,mean_b
1,34.0,87.5,86.5,4,2,8,173.0,116.0,250.0
1,34.0,103.5,86.5,4,2,8,173.8,116.8,250.8
1,34.0,183.5,86.5,4,2,8,172.0,115.5,246.0
1,34.0,210.5,86.5,38,2,76,172.1,115.2,249.3
1,34.0,273.5,86.5,4,2,8,171.1,114.1,254.1
1,34.0,280.5,86.5,6,2,12,164.0,116.3,252.0
1,34.0,288.5,86.5,6,2,12,171.8,114.1,250.1
1,34.0,80.5,104.5,6,2,12,171.1,117.8,250.9
1,34.0,51.0,107.18,4,4,11,172.1,115.5,246.4
1,34.0,32.5,133.5,2,4,8,166.0,117.5,246.0
1,34.0,92.0,168.5,4,12,32,173.7,116.5,245.6
1,34.0,81.73,170.58,14,6,59,173.0,115.9,245.0
1,34.0,195.5,200.5,4,2,8,174.9,115.4,249.9
1,34.0,190.77,220.81,7,6,31,126.9,161.1,155.0
1,34.0,316.53,225.63,8,8,38,79.4,129.0,126.8
1,34.0,14.62,227.46,7,6,24,62.1,130.7,114.5
1,34.0,304.67,226.53,11,6,49,93.9,134.9,137.6
1,34.0,7.62,226.56,6,5,16,66.1,139.9,134.1
1,34.0,97.17,228.0,3,3,6,27.5,129.5,50.8
1,34.0,71.17,228.83,5,2,6,58.3,129.5,111.2
2,34.0334,87.5,86.5,4,2,8,173.0,116.0,250.0
2,34.0334,103.5,86.5,4,2,8,173.8,116.8,250.8
2,34.0334,183.5,86.5,4,2,8,172.0,115.5,246.0
2,34.0334,210.5,86.5,38,2,76,172.1,115.2,249.3
2,34.0334,273.5,86.5,4,2,8,171.1,114.1,254.1
2,34.0334,280.5,86.5,6,2,12,164.0,116.3,252.0
2,34.0334,288.5,86.5,6,2,12,171.8,114.1,250.1
2,34.0334,41.17,97.17,4,4,12,172.0,115.0,248.7
2,34.0334,106.81,116.68,6,6,31,172.6,116.9,245.5
2,34.0334,18.32,124.32,6,10,44,171.7,115.2,248.7
2,34.0334,84.0,162.5,4,12,32,173.5,116.6,245.6
2,34.0334,73.53,165.1,14,6,62,173.1,116.0,245.0
2,34.0334,195.5,200.5,4,2,8,174.9,115.4,249.9
2,34.0334,0.5,208.0,2,3,6,151.3,149.0,206.0
2,34.0334,192.51,219.8,7,8,35,129.9,154.5,155.9
2,34.0334,316.0,225.67,9,8,45,76.8,130.0,123.7
2,34.0334,10.55,226.78,13,6,40,67.3,132.8,129.8
2,34.0334,303.98,226.56,11,6,45,91.0,133.5,132.2
2,34.0334,171.93,227.71,6,4,14,9.6,114.4,27.7
2,34.0334,69.86,228.71,5,2,7,62.9,132.3,119.7
3,34.0667,87.5,86.5,4,2,8,173.0,116.0,250.0
3,34.0667,103.5,86.5,4,2,8,173.8,116.8,250.8
3,34.0667,183.5,86.5,4,2,8,172.0,115.5,246.0
3,34.0667,210.5,86.5,38,2,76,172.1,115.2,249.3
3,34.0667,273.5,86.5,4,2,8,171.1,114.1,254.1
3,34.0667,280.5,86.5,6,2,12,164.0,116.3,252.0
3,34.0667,288.5,86.5,6,2,12,171.8,114.1,250.1
3,34.0667,94.83,99.83,6,6,24,173.2,116.9,246.8
3,34.0667,17.5,141.5,4,8,24,170.8,115.5,248.4
3,34.0667,71.67,145.11,4,3,9,174.3,118.0,245.0
3,34.0667,58.62,153.21,16,6,68,173.0,116.0,245.0
