track,frame,time,screen_x,screen_y,area,z_proxy_area_0_255,y_norm_down_0_255,fire_frame_est
right,83,36.74,267.92,141.26,77,174,255,95
right,84,36.77,266.78,139.48,83,187,236,95
right,85,36.8,266.76,137.39,83,187,214,95
right,86,36.84,266.45,133.43,80,181,172,95
right,87,36.87,266.45,131.43,80,181,151,95
right,88,36.9,267.83,129.59,88,199,132,95
right,89,36.94,267.8,127.55,92,208,110,95
right,90,36.97,267.4,124.68,99,223,80,95
right,92,37.04,266.85,120.26,112,253,34,95
right,93,37.07,266.85,120.26,112,253,34,95
right,94,37.1,265.63,117.08,113,255,0,95
center,81,36.67,167.33,183.21,97,217,255,109
center,82,36.7,167.06,180.91,93,208,246,109
center,83,36.74,166.8,177.44,90,201,233,109
center,84,36.77,166.9,175.27,93,208,224,109
center,85,36.8,167.35,173.25,96,215,217,109
center,86,36.84,167.39,169.63,102,228,203,109
center,87,36.87,167.22,167.61,104,233,195,109
center,88,36.9,167.08,165.5,102,228,187,109
center,89,36.94,167.14,163.43,102,228,179,109
center,90,36.97,167.34,160.15,106,237,166,109
center,91,37.0,167.13,157.92,106,237,158,109
center,92,37.04,167.3,154.96,98,219,146,109
center,93,37.07,167.77,153.05,98,219,139,109
center,94,37.1,167.55,149.34,100,224,124,109
center,95,37.14,167.34,147.4,96,215,117,109
center,96,37.17,167.53,143.89,95,212,103,109
center,97,37.2,166.86,141.68,91,204,95,109
center,98,37.24,167.13,138.98,93,208,85,109
center,99,37.27,167.92,136.61,106,237,75,109
center,100,37.3,167.47,133.15,97,217,62,109
center,101,37.34,166.18,130.68,71,159,53,109
center,102,37.37,166.96,128.89,91,204,46,109
center,103,37.4,166.0,125.24,82,183,32,109
center,104,37.44,166.02,124.62,96,215,29,109
center,105,37.47,165.81,120.69,105,235,14,109
center,106,37.5,165.81,120.69,105,235,14,109
center,107,37.54,165.54,119.84,96,215,11,109
center,108,37.57,165.62,117.04,114,255,0,109
left,95,37.14,64.3,183.94,81,199,255,125
left,96,37.17,63.93,180.58,83,204,242,125
left,100,37.3,64.03,169.81,86,211,200,125
left,101,37.34,63.16,167.91,98,240,193,125
left,102,37.37,62.73,165.79,98,240,185,125
left,104,37.44,63.34,161.52,96,235,168,125
left,105,37.47,63.15,157.95,100,245,155,125
left,106,37.5,63.35,155.85,102,250,146,125
left,107,37.54,63.01,152.55,104,255,134,125
left,108,37.57,63.28,150.36,98,240,125,125
left,109,37.6,63.23,147.35,94,230,114,125
left,110,37.64,63.04,145.04,97,238,105,125
left,111,37.67,63.27,140.86,100,245,88,125
left,112,37.7,63.27,139.66,99,243,84,125
left,113,37.74,63.4,137.57,95,233,76,125
left,114,37.77,63.31,135.25,96,235,67,125
left,115,37.8,63.45,133.01,98,240,58,125
left,116,37.84,62.13,132.11,84,206,55,125
left,117,37.87,63.08,129.09,95,233,43,125
left,118,37.9,63.23,127.92,99,243,38,125
left,119,37.94,63.21,125.62,95,233,30,125
left,120,37.97,63.92,121.86,87,213,15,125
left,121,38.0,63.77,120.8,90,221,11,125
left,122,38.04,63.77,120.8,90,221,11,125
left,123,38.07,63.77,120.8,90,221,11,125
left,124,38.1,64.82,117.97,104,255,0,125
