track,frame,time,cx,cy,w,h,area,mean_r,mean_g,mean_b
right,81,36.669,274.0,148.2,3,3,5,126.2,75.6,156.6
right,82,36.703,274.0,146.2,3,3,5,126.2,75.6,156.6
right,83,36.736,267.962,141.256,19,9,78,142.744,91.346,137.859
right,84,36.769,266.821,139.464,16,8,84,135.476,90.631,125.94
right,85,36.803,266.798,137.369,16,8,84,135.333,91.167,126.952
right,86,36.836,266.45,133.425,14,8,80,140.062,93.362,124.662
right,87,36.87,266.45,131.425,14,8,80,140.062,93.362,124.662
right,88,36.903,267.865,129.584,19,8,89,142.809,96.404,135.809
right,89,36.936,267.839,127.548,19,8,93,145.925,99.172,141.226
right,90,36.97,267.436,124.653,19,11,101,144.03,96.149,138.317
right,91,37.003,267.176,121.426,17,11,108,152.0,109.843,162.454
right,92,37.036,266.876,120.248,19,10,113,151.726,111.442,159.796
right,93,37.07,266.876,120.248,19,10,113,151.726,111.442,159.796
right,94,37.103,265.693,117.088,20,12,114,146.009,105.272,138.386
right,96,37.17,269.118,121.598,13,18,127,188.575,137.504,212.598
right,98,37.237,267.693,129.216,19,22,199,201.206,149.447,220.714
right,99,37.27,267.567,132.795,14,24,215,201.149,148.786,218.228
right,106,37.504,266.676,192.088,22,16,170,151.165,111.647,162.282
right,110,37.637,273.537,164.289,26,38,218,125.56,39.491,159.399
right,114,37.77,259.0,136.5,3,2,6,155.333,62.333,179.333
center,75,36.469,166.556,188.583,24,11,144,142.694,119.965,150.257
center,76,36.503,166.791,187.678,18,8,115,138.739,111.574,135.035
center,77,36.536,167.265,186.382,19,10,102,143.5,105.167,143.412
center,78,36.569,167.286,186.01,19,9,105,144.876,105.305,143.724
center,79,36.603,167.465,185.232,19,9,99,145.879,107.323,139.475
center,80,36.636,167.465,185.232,19,9,99,145.879,107.323,139.475
center,81,36.669,167.367,183.194,19,9,98,145.929,107.724,138.531
center,82,36.703,167.116,180.884,18,9,95,142.084,104.579,135.789
center,83,36.736,166.824,177.44,17,8,91,144.44,103.56,138.571
center,84,36.769,166.903,175.269,19,8,93,145.129,106.581,142.43
center,85,36.803,167.392,173.237,19,9,97,145.577,106.619,138.237
center,86,36.836,167.413,169.615,20,8,104,145.298,105.346,144.567
center,87,36.87,167.245,167.594,21,8,106,146.113,105.868,146.368
center,88,36.903,167.078,165.5,21,8,102,147.088,105.775,146.804
center,89,36.936,167.137,163.431,19,9,102,146.343,105.118,146.843
center,90,36.97,167.34,160.151,19,9,106,144.934,104.774,146.245
center,91,37.003,167.132,157.925,19,9,106,145.604,105.481,145.047
center,92,37.036,167.35,154.93,19,9,100,146.84,107.56,145.89
center,93,37.07,167.79,153.03,20,9,100,145.09,106.31,144.49
center,94,37.103,167.612,149.301,19,8,103,144.068,104.252,145.505
center,95,37.136,167.414,147.354,19,8,99,143.838,103.101,144.323
center,96,37.17,167.542,143.875,19,9,96,146.573,105.74,146.198
center,97,37.203,166.903,141.667,17,9,93,143.269,102.387,139.613
center,98,37.237,167.168,138.958,19,9,95,143.863,104.695,139.768
center,99,37.27,167.925,136.613,20,10,106,144.972,105.849,146.84
center,100,37.303,167.54,133.12,19,9,100,143.37,104.13,144.51
center,101,37.337,166.183,130.676,15,8,71,132.07,90.197,122.549
center,102,37.37,167.022,128.86,17,9,93,143.183,104.43,140.505
center,103,37.403,165.94,125.229,18,8,83,139.964,95.94,132.024
center,104,37.437,166.0,124.574,24,9,101,138.069,97.376,140.446
center,105,37.47,165.81,120.686,21,10,105,151.486,110.886,154.076
center,106,37.504,165.81,120.686,21,10,105,151.486,110.886,154.076
center,107,37.537,165.495,119.835,18,10,97,147.423,106.289,146.722
center,108,37.57,165.53,117.0,21,10,117,139.419,102.231,136.214
center,110,37.637,168.021,120.995,24,20,190,180.116,129.605,193.979
center,111,37.67,164.14,124.926,19,16,121,137.05,88.066,129.62
center,112,37.704,170.548,127.846,29,23,259,185.556,138.876,189.479
center,113,37.737,173.866,130.45,27,25,269,192.353,150.405,195.375
center,115,37.804,166.433,137.417,18,12,127,150.937,112.78,139.701
center,116,37.837,166.036,142.095,20,12,137,151.839,112.686,140.285
center,117,37.871,165.275,155.564,24,10,149,153.134,114.128,149.557
center,119,37.937,154.417,171.417,6,4,12,164.5,112.417,192.75
left,92,37.036,63.851,191.621,17,8,87,129.897,99.54,130.253
left,93,37.07,64.235,189.432,17,8,81,129.667,98.667,126.58
left,94,37.103,64.398,185.88,17,8,83,127.94,94.434,132.422
left,95,37.136,64.417,183.893,17,8,84,130.381,95.702,135.571
left,96,37.17,63.989,180.534,17,9,88,132.102,98.239,137.977
left,97,37.203,61.927,181.516,17,14,124,147.605,104.589,177.758
left,98,37.237,63.354,176.74,17,18,127,143.74,102.984,170.291
left,99,37.27,63.298,174.511,17,18,131,145.977,104.435,173.053
left,100,37.303,64.157,169.775,17,8,89,132.517,97.742,139.348
left,101,37.337,63.202,167.899,20,8,99,140.889,104.535,146.717
left,102,37.37,62.891,165.752,21,9,101,140.406,103.713,147.149
left,103,37.403,63.289,162.7,21,8,90,137.278,102.133,147.5
left,104,37.437,63.309,161.505,21,9,97,142.68,105.742,152.0
left,105,37.47,63.25,157.904,21,8,104,140.327,103.615,146.788
left,106,37.504,63.442,155.827,20,9,104,147.058,104.577,145.962
left,107,37.537,63.113,152.538,21,9,106,146.557,105.094,148.075
left,108,37.57,63.38,150.35,21,9,100,145.95,104.26,145.07
left,109,37.604,63.392,147.32,21,8,97,144.567,103.546,141.546
left,110,37.637,63.141,145.01,21,10,99,150.222,103.909,143.687
left,111,37.67,63.27,140.86,21,9,100,147.49,106.74,144.68
left,112,37.704,63.388,139.621,21,9,103,146.854,102.922,145.417
left,113,37.737,63.551,137.541,21,9,98,146.898,103.388,144.449
left,114,37.77,63.465,135.222,21,10,99,146.586,104.141,142.697
left,115,37.804,63.54,132.98,21,11,100,148.93,105.54,146.3
left,116,37.837,63.186,132.01,21,8,97,149.351,105.227,146.557
left,117,37.871,63.084,129.095,21,7,95,143.432,105.284,145.716
left,118,37.904,63.2,127.91,21,8,100,146.82,103.96,149.25
left,119,37.937,63.271,125.615,21,8,96,146.271,103.906,147.99
left,120,37.971,63.966,121.841,17,11,88,139.227,107.67,145.489
left,121,38.004,63.767,120.8,18,10,90,139.444,108.956,144.4
left,122,38.037,63.767,120.8,18,10,90,139.444,108.956,144.4
left,123,38.071,63.767,120.8,18,10,90,139.444,108.956,144.4
left,124,38.104,64.857,117.971,19,10,105,137.067,106.495,141.99
left,125,38.137,66.528,115.688,19,14,144,184.257,116.562,179.194
left,126,38.171,68.387,118.313,23,18,230,180.791,107.961,172.896
left,127,38.204,68.882,122.0,25,19,279,194.455,128.889,147.756
left,131,38.338,64.208,127.253,21,14,154,146.143,107.656,143.753
left,132,38.371,64.629,128.937,24,11,143,145.21,108.566,145.245
left,134,38.438,64.947,150.474,21,12,133,150.519,108.218,133.338
left,135,38.471,64.867,155.993,21,12,135,149.578,108.578,128.356
