track,frame,time,cx,cy,w,h,area,mean_r,mean_g,mean_b
right,94,37.103,272.034,164.542,8,18,59,199.153,115.102,178.136
right,95,37.136,272.052,164.638,8,18,58,199.655,115.103,177.293
right,96,37.17,272.067,165.017,8,19,60,198.567,115.4,179.117
right,97,37.203,266.545,128.909,4,5,11,188.091,124.273,208.636
right,98,37.237,260.619,124.505,15,23,97,183.258,123.134,218.278
right,99,37.27,272.034,164.542,8,18,59,199.492,115.034,177.864
right,100,37.303,269.444,136.321,8,28,81,206.605,127.049,210.185
right,101,37.337,268.773,144.523,10,15,44,203.273,126.159,193.773
right,102,37.37,263.472,141.831,13,22,89,210.067,113.596,201.258
right,103,37.403,259.909,153.202,38,50,440,188.452,119.459,190.698
right,104,37.437,261.057,152.413,41,28,247,195.287,121.166,169.437
right,105,37.47,272.457,162.061,28,33,280,204.961,121.2,145.511
right,106,37.504,268.933,162.764,36,27,330,210.473,124.515,135.015
right,107,37.537,256.873,200.986,25,6,71,173.38,120.662,230.69
right,108,37.57,263.179,186.516,23,9,95,172.126,117.021,229.158
right,109,37.604,257.27,150.865,18,4,37,171.541,116.892,226.216
right,110,37.637,262.428,170.288,42,49,545,190.229,113.64,217.061
right,111,37.67,282.385,162.615,6,3,13,181.0,112.462,231.231
right,112,37.704,240.941,173.765,6,10,17,175.176,103.118,229.588
right,113,37.737,281.273,143.273,5,8,22,183.273,105.955,219.591
right,114,37.77,261.374,172.025,52,78,1310,207.608,113.626,200.854
right,115,37.804,301.294,189.824,8,4,17,169.706,119.118,232.706
right,116,37.837,265.556,221.556,4,4,9,196.667,131.444,126.889
right,117,37.871,266.545,220.727,6,3,11,188.909,141.727,150.273
right,118,37.904,266.333,220.611,7,5,18,182.778,154.833,157.389
right,119,37.937,266.4,219.2,6,5,15,184.0,148.733,152.267
right,121,38.004,268.0,219.0,9,3,13,191.846,166.615,167.154
right,123,38.071,267.0,209.0,3,6,8,194.375,145.25,120.875
right,124,38.104,263.714,213.75,9,10,28,187.25,152.429,155.179
right,125,38.137,269.545,213.273,5,4,11,198.818,145.273,151.909
center,108,37.57,169.063,125.0,16,7,63,171.238,118.381,229.841
center,109,37.604,160.0,113.071,6,4,14,183.429,126.214,221.0
center,110,37.637,163.885,113.538,6,8,26,183.923,122.0,191.692
center,111,37.67,164.216,117.529,12,9,51,177.765,118.765,214.549
center,112,37.704,164.686,118.882,12,8,51,179.176,119.098,208.216
center,113,37.737,168.0,128.238,10,6,21,184.095,148.476,181.857
center,114,37.77,170.855,138.066,8,18,76,179.592,115.579,211.605
center,115,37.804,165.528,134.509,8,12,53,189.623,131.755,180.943
center,116,37.837,168.182,143.455,9,4,22,181.182,148.5,177.182
center,117,37.871,166.769,157.154,6,4,13,183.615,150.231,164.385
center,118,37.904,165.444,158.481,9,12,54,189.537,131.981,181.907
center,119,37.937,193.022,155.604,52,38,543,191.25,119.169,180.843
center,120,37.971,194.464,161.696,49,32,685,192.543,118.311,176.38
center,121,38.004,162.915,156.362,9,10,47,203.043,130.255,140.447
center,122,38.037,166.933,170.233,6,6,30,174.133,118.133,225.267
center,123,38.071,169.833,201.556,6,4,18,173.0,121.667,231.667
center,124,38.104,166.143,220.0,6,6,14,199.5,137.071,142.143
center,125,38.137,188.846,220.077,5,5,13,176.385,163.462,224.462
center,126,38.171,200.0,169.605,22,40,195,190.8,118.477,213.564
center,127,38.204,201.056,171.231,19,39,195,191.528,107.297,211.359
center,128,38.238,202.952,167.727,15,54,293,193.266,114.645,215.686
center,129,38.271,142.667,183.933,6,4,15,173.133,116.533,229.733
center,130,38.304,195.923,183.077,4,5,13,175.154,104.385,230.462
center,131,38.338,165.8,224.9,5,4,10,190.7,128.1,140.5
center,132,38.371,163.111,230.222,4,3,9,191.0,135.667,131.778
center,134,38.438,166.75,221.5,6,4,12,177.083,153.25,171.917
center,135,38.471,166.938,214.812,8,4,16,216.062,126.0,111.375
center,136,38.505,166.7,219.1,6,4,10,175.7,152.0,169.1
center,137,38.538,147.5,201.375,12,4,32,169.625,131.75,218.562
center,138,38.571,163.444,214.111,4,3,9,183.0,149.444,160.889
center,140,38.638,167.711,202.658,10,8,38,194.553,145.789,154.079
center,142,38.705,167.92,200.52,12,4,25,222.24,139.52,137.52
left,124,38.104,63.854,124.604,16,6,48,171.0,118.333,224.5
left,125,38.137,71.732,115.156,26,22,231,185.156,117.74,212.931
left,126,38.171,67.128,122.224,22,18,156,194.051,120.147,197.429
left,127,38.204,63.778,123.244,16,9,45,193.044,121.356,167.778
left,128,38.238,63.704,117.593,8,9,27,199.0,123.852,180.222
left,129,38.271,63.302,122.116,9,11,43,192.14,131.302,178.256
left,130,38.304,58.119,119.839,19,14,118,180.644,120.347,216.051
left,131,38.338,65.552,122.414,8,8,29,181.552,122.724,188.655
left,132,38.371,63.552,125.948,11,11,58,186.431,133.155,185.948
left,133,38.404,65.185,132.37,8,8,27,187.111,120.296,172.222
left,134,38.438,62.909,156.136,11,8,44,173.386,129.227,213.205
left,135,38.471,62.474,161.842,8,4,19,173.842,124.579,217.421
left,136,38.505,69.026,167.604,23,27,154,184.448,124.052,182.305
left,137,38.538,64.558,152.663,16,20,104,202.048,122.558,164.702
left,138,38.571,54.507,151.478,16,23,134,200.948,125.164,164.724
left,139,38.605,64.851,146.894,17,18,94,178.553,124.713,208.862
left,140,38.638,52.235,161.559,7,11,34,179.882,114.765,195.824
left,141,38.671,44.621,160.069,6,13,29,187.931,115.172,179.828
left,142,38.705,59.5,179.5,8,8,64,173.0,117.0,230.0
left,143,38.738,45.623,156.717,14,10,53,198.151,133.075,171.17
left,144,38.771,46.191,151.957,11,8,47,194.957,132.553,169.383
left,145,38.805,69.345,188.549,44,16,142,171.894,120.993,229.655
left,146,38.838,33.745,163.982,13,14,55,186.218,133.455,167.145
left,147,38.872,43.951,126.463,9,8,41,202.293,136.732,147.268
left,148,38.905,57.548,98.091,11,26,186,170.763,116.258,232.366
left,149,38.938,57.581,97.453,11,26,172,170.907,116.233,232.326
left,150,38.972,59.267,91.433,8,4,30,169.4,117.133,232.267
left,151,39.005,55.223,95.436,18,28,202,173.119,118.738,224.921
left,152,39.038,46.652,121.174,6,10,23,182.0,133.435,188.0
left,153,39.072,60.91,118.43,18,16,100,179.16,127.28,203.9
left,154,39.105,70.5,118.777,18,16,94,179.521,127.255,202.372
left,155,39.138,77.118,125.221,24,16,136,179.801,127.397,205.706
left,156,39.172,57.471,91.147,11,12,68,170.588,116.471,231.235
left,157,39.205,57.303,91.106,11,12,66,170.576,116.636,231.091
left,158,39.239,57.303,91.106,11,12,66,170.576,116.636,231.091
left,159,39.272,57.471,91.147,11,12,68,170.588,116.471,231.235
left,160,39.305,57.471,91.147,11,12,68,170.588,116.471,231.235
