track,frame,time,cx,cy,w,h,bbox_area,mask_area,x0,y0,x1,y1
right_forward,98,37.237,263.0,164.5,19,14,266,79,254,158,272,171
right_forward,99,37.27,263.0,164.5,19,14,266,79,254,158,272,171
right_forward,100,37.303,263.0,148.5,19,46,874,158,254,126,272,171
right_forward,101,37.337,263.0,152.0,19,39,741,164,254,133,272,171
right_forward,102,37.37,264.5,151.5,22,40,880,186,254,132,275,171
right_forward,103,37.403,263.5,156.5,24,30,720,181,252,142,275,171
right_forward,104,37.437,264.0,156.5,29,30,870,198,250,142,278,171
right_forward,105,37.47,263.5,161.5,40,20,800,253,244,152,283,171
right_forward,106,37.504,259.0,164.5,51,22,1122,359,234,154,284,175
right_forward,110,37.637,260.0,169.0,19,25,475,101,251,157,269,181
right_forward,111,37.67,262.0,169.0,25,51,1275,242,250,144,274,194
right_forward,112,37.704,261.5,169.5,26,52,1352,259,249,144,274,195
right_forward,113,37.737,262.5,170.0,34,69,2346,801,246,136,279,204
right_forward,114,37.77,263.0,172.5,37,70,2590,930,245,138,281,207
center_forward,116,37.837,201.5,152.0,44,41,1804,227,180,132,223,172
center_forward,117,37.871,194.0,157.5,25,44,1100,248,182,136,206,179
center_forward,118,37.904,188.5,158.5,26,38,988,296,176,140,201,177
center_forward,119,37.937,186.5,159.5,38,36,1368,301,168,142,205,177
center_forward,120,37.971,182.5,163.5,62,24,1488,415,152,152,213,175
center_forward,121,38.004,182.5,164.5,66,26,1716,387,150,152,215,177
center_forward,122,38.037,150.0,166.5,21,22,462,121,140,156,160,177
center_forward,123,38.071,139.0,165.5,23,28,644,153,128,152,150,179
center_forward,124,38.104,129.0,162.5,23,22,506,146,118,152,140,173
center_forward,126,38.171,209.5,172.5,28,30,840,130,196,158,223,187
center_forward,127,38.204,212.5,175.0,28,29,812,107,199,161,226,189
center_forward,128,38.238,213.0,168.0,25,49,1225,204,201,144,225,192
center_forward,129,38.271,215.5,169.5,26,52,1352,294,203,144,228,195
center_forward,130,38.304,216.5,170.0,28,53,1484,268,203,144,230,196
center_forward,131,38.338,220.5,172.5,36,74,2664,952,203,136,238,209
center_forward,132,38.371,222.5,172.5,38,76,2888,1123,204,135,241,210
center_forward,141,38.671,165.5,204.5,12,10,120,46,160,200,171,209
center_forward,144,38.771,166.0,202.0,13,11,143,40,160,197,172,207
left_forward,126,38.171,108.5,165.5,24,28,672,164,97,152,120,179
left_forward,127,38.204,98.5,166.5,24,26,624,168,87,154,110,179
left_forward,128,38.238,87.5,163.0,20,15,300,84,78,156,97,170
left_forward,129,38.271,82.5,148.0,30,45,1350,177,68,126,97,170
left_forward,130,38.304,83.0,149.5,29,42,1218,171,69,129,97,170
left_forward,131,38.338,87.5,163.5,20,14,280,81,78,157,97,170
left_forward,132,38.371,87.5,163.5,20,14,280,81,78,157,97,170
left_forward,133,38.404,87.5,164.0,20,13,260,79,78,158,97,170
left_forward,134,38.438,87.5,164.0,20,13,260,78,78,158,97,170
left_forward,135,38.471,87.5,164.0,20,13,260,78,78,158,97,170
left_forward,136,38.505,77.0,160.5,31,14,434,94,62,154,92,167
left_forward,137,38.538,82.0,152.0,37,17,629,102,64,144,100,160
left_forward,138,38.571,63.5,149.5,20,14,280,90,54,143,73,156
left_forward,139,38.605,52.5,148.0,18,17,306,88,44,140,61,156
left_forward,140,38.638,105.5,158.5,18,34,612,215,97,142,114,175
left_forward,141,38.671,108.0,163.5,19,40,760,287,99,144,117,183
left_forward,142,38.705,109.0,164.0,27,37,999,334,96,146,122,182
left_forward,143,38.738,113.0,169.5,31,42,1302,445,98,149,128,190
left_forward,144,38.771,113.5,170.5,44,38,1672,526,92,152,135,189
left_forward,145,38.805,118.0,174.5,47,42,1974,597,95,154,141,195
left_forward,146,38.838,121.0,180.5,59,30,1770,730,92,166,150,195
left_forward,147,38.872,122.5,180.5,60,34,2040,784,93,164,152,197
