phase,screen_x,raw_screen_y,corrected_screen_y,screen_y_source,raw_area,corrected_area,area_source,track,changed
-30,167.0,,183.94,missing,,81.0,missing,center,1
-29,167.0,,180.58,missing,,83.0,missing,center,1
-28,167.33,183.21,183.21,raw,97.0,97.0,raw,center,0
-27,167.06,180.91,180.91,raw,93.0,93.0,raw,center,0
-26,166.8,177.44,177.44,raw,90.0,90.0,raw,center,0
-25,166.9,175.27,175.27,raw,93.0,93.0,raw,center,0
-24,167.35,173.25,173.25,raw,96.0,96.0,raw,center,0
-23,167.39,169.63,169.63,raw,102.0,102.0,raw,center,0
-22,167.22,167.61,167.61,raw,104.0,104.0,raw,center,0
-21,167.08,165.5,165.5,raw,102.0,102.0,raw,center,0
-20,167.14,163.43,163.43,raw,102.0,102.0,raw,center,0
-19,167.34,160.15,160.15,raw,106.0,106.0,raw,center,0
-18,167.13,157.92,157.92,raw,106.0,106.0,raw,center,0
-17,167.3,154.96,154.96,raw,98.0,98.0,raw,center,0
-16,167.77,153.05,153.05,raw,98.0,98.0,raw,center,0
-15,167.55,149.34,149.34,raw,100.0,100.0,raw,center,0
-14,167.34,147.4,147.4,raw,96.0,96.0,raw,center,0
-13,167.53,143.89,143.89,raw,95.0,95.0,raw,center,0
-12,166.86,141.68,141.68,raw,91.0,91.0,raw,center,0
-11,167.13,138.98,138.98,raw,93.0,93.0,raw,center,0
-10,167.92,136.61,136.61,raw,106.0,106.0,raw,center,0
-9,167.47,133.15,133.15,raw,97.0,97.0,raw,center,0
-8,166.18,130.68,130.68,raw,71.0,71.0,raw,center,0
-7,166.96,128.89,128.89,raw,91.0,91.0,raw,center,0
-6,166.0,125.24,125.24,raw,82.0,82.0,raw,center,0
-5,166.02,124.62,124.62,raw,96.0,96.0,raw,center,0
-4,165.81,120.69,120.69,raw,105.0,105.0,raw,center,0
-3,165.81,120.69,120.69,raw,105.0,105.0,raw,center,0
-2,165.54,119.84,119.84,raw,96.0,96.0,raw,center,0
-1,165.62,117.04,117.04,raw,114.0,114.0,raw,center,0
-30,64.3,183.94,183.94,raw,81.0,81.0,raw,left,0
-29,63.93,180.58,180.58,raw,83.0,83.0,raw,left,0
-28,64.0,,183.21,missing,,97.0,missing,left,1
-27,64.0,,180.91,missing,,93.0,missing,left,1
-26,64.0,,177.44,missing,,90.0,missing,left,1
-25,64.03,169.81,169.81,raw,86.0,86.0,raw,left,0
-24,63.16,167.91,167.91,raw,98.0,98.0,raw,left,0
-23,62.73,165.79,165.79,raw,98.0,98.0,raw,left,0
-22,64.0,,167.61,missing,,104.0,missing,left,1
-21,63.34,161.52,161.52,raw,96.0,96.0,raw,left,0
-20,63.15,157.95,157.95,raw,100.0,100.0,raw,left,0
-19,63.35,155.85,155.85,raw,102.0,102.0,raw,left,0
-18,63.01,152.55,152.55,raw,104.0,104.0,raw,left,0
-17,63.28,150.36,150.36,raw,98.0,98.0,raw,left,0
-16,63.23,147.35,147.35,raw,94.0,94.0,raw,left,0
-15,63.04,145.04,145.04,raw,97.0,97.0,raw,left,0
-14,63.27,140.86,140.86,raw,100.0,100.0,raw,left,0
-13,63.27,139.66,139.66,raw,99.0,99.0,raw,left,0
-12,63.4,137.57,137.57,raw,95.0,95.0,raw,left,0
-11,63.31,135.25,135.25,raw,96.0,96.0,raw,left,0
-10,63.45,133.01,133.01,raw,98.0,98.0,raw,left,0
-9,62.13,132.11,132.11,raw,84.0,84.0,raw,left,0
-8,63.08,129.09,129.09,raw,95.0,95.0,raw,left,0
-7,63.23,127.92,127.92,raw,99.0,99.0,raw,left,0
-6,63.21,125.62,125.62,raw,95.0,95.0,raw,left,0
-5,63.92,121.86,121.86,raw,87.0,87.0,raw,left,0
-4,63.77,120.8,120.8,raw,90.0,90.0,raw,left,0
-3,63.77,120.8,120.8,raw,90.0,90.0,raw,left,0
-2,63.77,120.8,120.8,raw,90.0,90.0,raw,left,0
-1,64.82,117.97,117.97,raw,104.0,104.0,raw,left,0
-30,267.0,,183.94,missing,,81.0,missing,right,1
-29,267.0,,180.58,missing,,83.0,missing,right,1
-28,267.0,,183.21,missing,,97.0,missing,right,1
-27,267.0,,180.91,missing,,93.0,missing,right,1
-26,267.0,,177.44,missing,,90.0,missing,right,1
-25,267.0,,172.54,missing,,89.5,missing,right,1
-24,267.0,,170.58,missing,,97.0,missing,right,1
-23,267.0,,167.71,missing,,100.0,missing,right,1
-22,267.0,,167.61,missing,,104.0,missing,right,1
-21,267.0,,163.51,missing,,99.0,missing,right,1
-20,267.0,,160.69,missing,,101.0,missing,right,1
-19,267.0,,158.0,missing,,104.0,missing,right,1
-18,267.0,,155.235,missing,,105.0,missing,right,1
-17,267.0,,152.66,missing,,98.0,missing,right,1
-16,267.0,,150.2,missing,,96.0,missing,right,1
-15,267.0,,147.19,missing,,98.5,missing,right,1
-14,267.0,,144.13,missing,,98.0,missing,right,1
-13,267.0,,141.775,missing,,97.0,missing,right,1
-12,267.92,141.26,141.26,raw,77.0,77.0,raw,right,0
-11,266.78,139.48,139.48,raw,83.0,83.0,raw,right,0
-10,266.76,137.39,137.39,raw,83.0,83.0,raw,right,0
-9,266.45,133.43,133.43,raw,80.0,80.0,raw,right,0
-8,266.45,131.43,131.43,raw,80.0,80.0,raw,right,0
-7,267.83,129.59,129.59,raw,88.0,88.0,raw,right,0
-6,267.8,127.55,127.55,raw,92.0,92.0,raw,right,0
-5,267.4,124.68,124.68,raw,99.0,99.0,raw,right,0
-4,267.0,,120.745,missing,,97.5,missing,right,1
-3,266.85,120.26,120.26,raw,112.0,112.0,raw,right,0
-2,266.85,120.26,120.26,raw,112.0,112.0,raw,right,0
-1,265.63,117.08,117.08,raw,113.0,113.0,raw,right,0
