phase,cx,raw_cy,corrected_cy,cy_source,raw_w,corrected_w,w_source,raw_h,corrected_h,h_source,raw_bbox_area,corrected_bbox_area,bbox_area_source,raw_mask_area,corrected_mask_area,mask_area_source,track,changed
0,201.5,152.0,152.0,raw,44.0,44.0,raw,41.0,41.0,raw,1804.0,1804.0,raw,227.0,227.0,raw,center_forward,0
1,194.0,157.5,157.5,raw,25.0,25.0,raw,44.0,44.0,raw,1100.0,1100.0,raw,248.0,248.0,raw,center_forward,0
2,188.5,158.5,158.5,raw,26.0,26.0,raw,38.0,38.0,raw,988.0,988.0,raw,296.0,296.0,raw,center_forward,0
3,186.5,159.5,159.5,raw,38.0,38.0,raw,36.0,36.0,raw,1368.0,1368.0,raw,301.0,301.0,raw,center_forward,0
4,182.5,163.5,163.5,raw,62.0,29.0,outlier,24.0,24.0,raw,1488.0,1488.0,raw,415.0,415.0,raw,center_forward,1
5,182.5,164.5,164.5,raw,66.0,24.0,outlier,26.0,26.0,raw,1716.0,1716.0,raw,387.0,387.0,raw,center_forward,1
6,150.0,166.5,166.5,raw,21.0,21.0,raw,22.0,22.0,raw,462.0,462.0,raw,121.0,121.0,raw,center_forward,0
7,139.0,165.5,165.5,raw,23.0,23.0,raw,28.0,28.0,raw,644.0,644.0,raw,153.0,153.0,raw,center_forward,0
8,129.0,162.5,162.5,raw,23.0,23.0,raw,22.0,22.0,raw,506.0,506.0,raw,146.0,146.0,raw,center_forward,0
9,184.0,,164.0,missing,,20.0,missing,,13.0,missing,,260.0,missing,,78.0,missing,center_forward,1
10,209.5,172.5,172.5,raw,28.0,28.0,raw,30.0,30.0,raw,840.0,840.0,raw,130.0,130.0,raw,center_forward,0
11,212.5,175.0,175.0,raw,28.0,28.0,raw,29.0,29.0,raw,812.0,812.0,raw,107.0,107.0,raw,center_forward,0
12,213.0,168.0,168.0,raw,25.0,25.0,raw,49.0,49.0,raw,1225.0,1225.0,raw,204.0,204.0,raw,center_forward,0
13,215.5,169.5,169.5,raw,26.0,26.0,raw,52.0,52.0,raw,1352.0,1352.0,raw,294.0,294.0,raw,center_forward,0
14,216.5,170.0,170.0,raw,28.0,28.0,raw,53.0,53.0,raw,1484.0,1484.0,raw,268.0,268.0,raw,center_forward,0
15,220.5,172.5,172.5,raw,36.0,36.0,raw,74.0,74.0,raw,2664.0,2664.0,raw,952.0,952.0,raw,center_forward,0
16,222.5,172.5,172.5,raw,38.0,38.0,raw,76.0,76.0,raw,2888.0,2888.0,raw,1123.0,1123.0,raw,center_forward,0
17,184.0,,169.5,missing,,31.0,missing,,42.0,missing,,1302.0,missing,,445.0,missing,center_forward,1
18,184.0,,170.5,missing,,44.0,missing,,38.0,missing,,1672.0,missing,,526.0,missing,center_forward,1
19,184.0,,174.5,missing,,47.0,missing,,42.0,missing,,1974.0,missing,,597.0,missing,center_forward,1
20,184.0,,180.5,missing,,59.0,missing,,30.0,missing,,1770.0,missing,,730.0,missing,center_forward,1
21,184.0,,180.5,missing,,60.0,missing,,34.0,missing,,2040.0,missing,,784.0,missing,center_forward,1
25,165.5,204.5,204.5,raw,12.0,12.0,raw,10.0,10.0,raw,120.0,120.0,raw,46.0,46.0,raw,center_forward,0
28,166.0,202.0,202.0,raw,13.0,13.0,raw,11.0,11.0,raw,143.0,143.0,raw,40.0,40.0,raw,center_forward,0
0,108.5,165.5,165.5,raw,24.0,24.0,raw,28.0,28.0,raw,672.0,672.0,raw,164.0,164.0,raw,left_forward,0
1,98.5,166.5,166.5,raw,24.0,24.0,raw,26.0,26.0,raw,624.0,624.0,raw,168.0,168.0,raw,left_forward,0
2,87.5,163.0,163.0,raw,20.0,20.0,raw,15.0,15.0,raw,300.0,300.0,raw,84.0,84.0,raw,left_forward,0
3,82.5,148.0,148.0,raw,30.0,30.0,raw,45.0,45.0,raw,1350.0,1350.0,raw,177.0,177.0,raw,left_forward,0
4,83.0,149.5,149.5,raw,29.0,29.0,raw,42.0,42.0,raw,1218.0,1218.0,raw,171.0,171.0,raw,left_forward,0
