cluster,frame,time,cx,cy,w,h,area,mean_r,mean_g,mean_b
160,81,36.67,167.33,183.21,19.0,9.0,97.0,147.4,108.8,139.7
160,82,36.7,167.06,180.91,18.0,9.0,93.0,144.9,106.8,138.1
272,83,36.74,267.92,141.26,19.0,9.0,77.0,144.3,92.5,139.3
160,83,36.74,166.8,177.44,17.0,8.0,90.0,145.7,104.7,139.7
272,84,36.77,266.78,139.48,16.0,8.0,83.0,136.9,91.7,127.1
160,84,36.77,166.9,175.27,19.0,8.0,93.0,145.1,106.6,142.4
272,85,36.8,266.76,137.39,16.0,8.0,83.0,136.8,92.3,128.1
160,85,36.8,167.35,173.25,19.0,9.0,96.0,147.1,107.7,139.4
272,86,36.84,266.45,133.43,14.0,8.0,80.0,140.1,93.4,124.7
160,86,36.84,167.39,169.63,20.0,8.0,102.0,147.8,107.4,146.8
272,87,36.87,266.45,131.43,14.0,8.0,80.0,140.1,93.4,124.7
160,87,36.87,167.22,167.61,21.0,8.0,104.0,148.5,107.9,148.6
272,88,36.9,267.83,129.59,19.0,8.0,88.0,144.2,97.5,137.0
160,88,36.9,167.08,165.5,21.0,8.0,102.0,147.1,105.8,146.8
272,89,36.94,267.8,127.55,19.0,8.0,92.0,147.2,100.2,142.4
160,89,36.94,167.14,163.43,19.0,9.0,102.0,146.3,105.1,146.8
272,90,36.97,267.4,124.68,19.0,11.0,99.0,146.4,98.1,140.6
160,90,36.97,167.34,160.15,19.0,9.0,106.0,144.9,104.8,146.2
160,91,37.0,167.13,157.92,19.0,9.0,106.0,145.6,105.5,145.0
272,92,37.04,266.85,120.26,19.0,10.0,112.0,152.9,112.4,161.0
160,92,37.04,167.3,154.96,19.0,9.0,98.0,149.6,109.8,148.2
272,93,37.07,266.85,120.26,19.0,10.0,112.0,152.9,112.4,161.0
160,93,37.07,167.77,153.05,20.0,9.0,98.0,147.7,108.5,146.8
272,94,37.1,265.63,117.08,20.0,12.0,113.0,147.2,106.2,139.4
160,94,37.1,167.55,149.34,19.0,8.0,100.0,148.1,107.4,148.9
160,95,37.14,167.34,147.4,19.0,8.0,96.0,147.9,106.3,147.8
64,95,37.14,64.3,183.94,17.0,8.0,81.0,134.4,99.2,140.2
160,96,37.17,167.53,143.89,19.0,9.0,95.0,147.8,106.9,147.4
64,96,37.17,63.93,180.58,17.0,9.0,83.0,139.0,104.2,145.5
160,97,37.2,166.86,141.68,17.0,9.0,91.0,146.1,104.6,142.0
160,98,37.24,167.13,138.98,19.0,9.0,93.0,146.6,106.9,142.2
160,99,37.27,167.92,136.61,20.0,10.0,106.0,145.0,105.8,146.8
160,100,37.3,167.47,133.15,19.0,9.0,97.0,147.4,107.4,148.1
64,100,37.3,64.03,169.81,17.0,8.0,86.0,136.4,101.2,143.8
160,101,37.34,166.18,130.68,15.0,8.0,71.0,132.1,90.2,122.5
64,101,37.34,63.16,167.91,20.0,8.0,98.0,142.0,105.6,148.2
160,102,37.37,166.96,128.89,17.0,9.0,91.0,146.1,106.7,142.9
64,102,37.37,62.73,165.79,21.0,9.0,98.0,144.4,106.9,151.0
160,103,37.4,166.0,125.24,18.0,8.0,82.0,141.5,97.0,133.3
160,104,37.44,166.02,124.62,24.0,9.0,96.0,144.4,102.2,146.3
64,104,37.44,63.34,161.52,21.0,9.0,96.0,144.0,106.8,153.2
160,105,37.47,165.81,120.69,21.0,10.0,105.0,151.5,110.9,154.1
64,105,37.47,63.15,157.95,21.0,8.0,100.0,145.2,107.8,152.0
160,106,37.5,165.81,120.69,21.0,10.0,105.0,151.5,110.9,154.1
64,106,37.5,63.35,155.85,20.0,9.0,102.0,149.9,106.6,148.3
160,107,37.54,165.54,119.84,18.0,10.0,96.0,148.9,107.4,147.9
64,107,37.54,63.01,152.55,21.0,9.0,104.0,149.4,107.1,150.3
160,108,37.57,165.62,117.04,21.0,10.0,114.0,142.3,104.8,139.5
64,108,37.57,63.28,150.36,21.0,9.0,98.0,148.9,106.4,147.4
64,109,37.6,63.23,147.35,21.0,8.0,94.0,149.2,106.9,145.1
64,110,37.64,63.04,145.04,21.0,10.0,97.0,153.1,106.1,146.0
160,111,37.67,164.14,124.93,19.0,16.0,121.0,137.0,88.1,129.6
64,111,37.67,63.27,140.86,21.0,9.0,100.0,147.5,106.7,144.7
64,112,37.7,63.27,139.66,21.0,9.0,99.0,152.5,107.0,150.2
64,113,37.74,63.4,137.57,21.0,9.0,95.0,151.5,106.7,148.1
64,114,37.77,63.31,135.25,21.0,10.0,96.0,151.2,107.4,146.3
