frame,time,cx,cy,w,h,bbox_area,mask_area,x0,y0,x1,y1
55,41.8,88.0,50.0,79,9,711,229,49,46,127,54
55,41.8,250.5,48.0,26,5,130,53,238,46,263,50
55,41.8,296.0,55.5,15,4,60,28,289,54,303,57
55,41.8,196.5,127.5,18,10,180,71,188,123,205,132
56,41.83,88.0,50.0,79,9,711,229,49,46,127,54
56,41.83,250.5,48.0,26,5,130,53,238,46,263,50
56,41.83,296.0,55.5,15,4,60,28,289,54,303,57
56,41.83,190.5,128.5,10,8,80,35,186,125,195,132
57,41.87,88.0,50.0,79,9,711,229,49,46,127,54
57,41.87,250.5,48.0,26,5,130,53,238,46,263,50
58,41.9,88.0,50.0,79,9,711,229,49,46,127,54
58,41.9,250.5,48.0,26,5,130,53,238,46,263,50
58,41.9,296.0,55.5,15,4,60,28,289,54,303,57
58,41.9,171.0,129.5,9,8,72,27,167,126,175,133
59,41.93,88.0,50.0,79,9,711,229,49,46,127,54
59,41.93,250.5,48.0,26,5,130,53,238,46,263,50
59,41.93,296.0,55.5,15,4,60,28,289,54,303,57
59,41.93,170.0,131.0,19,9,171,45,161,127,179,135
60,41.97,88.0,50.0,79,9,711,229,49,46,127,54
60,41.97,250.5,48.0,26,5,130,53,238,46,263,50
60,41.97,296.0,55.0,15,5,75,29,289,53,303,57
61,42.0,88.0,50.0,79,9,711,229,49,46,127,54
61,42.0,250.5,48.0,26,5,130,53,238,46,263,50
61,42.0,296.0,55.0,15,5,75,29,289,53,303,57
61,42.0,134.5,126.0,66,23,1518,867,102,115,167,137
62,42.03,88.0,50.0,79,9,711,229,49,46,127,54
62,42.03,250.5,48.0,26,5,130,53,238,46,263,50
62,42.03,296.0,55.0,15,5,75,28,289,53,303,57
62,42.03,129.5,127.0,64,23,1472,805,98,116,161,138
63,42.07,88.0,50.0,79,9,711,229,49,46,127,54
63,42.07,250.5,48.0,26,5,130,53,238,46,263,50
63,42.07,296.0,55.0,15,5,75,28,289,53,303,57
63,42.07,139.5,134.5,20,6,120,24,130,132,149,137
