track,n,frame_min,frame_max,x0,x1,y0,y1,area0,area1,area_max,area_max_frame,score
22,4,88,91,106.0,181.5,125.0,129.5,4473,160,4473,88,542.95
12,6,79,84,295.0,296.0,115.5,138.0,522,95,1316,81,448.05
35,9,99,107,297.0,297.0,55.5,55.5,52,52,65,105,402.0
4,11,58,68,296.0,297.0,55.5,55.5,60,52,75,60,358.2
25,5,90,94,207.0,163.5,70.5,62.0,868,1190,1360,92,307.0
1,29,55,83,250.5,250.5,48.0,48.0,130,130,130,55,292.5
34,10,99,108,250.5,250.5,48.0,48.0,130,130,130,99,266.5
24,7,90,96,251.0,250.5,48.5,48.0,100,130,130,91,259.0
49,5,110,114,297.5,297.5,55.5,55.5,48,48,48,110,247.5
58,5,117,121,297.5,297.5,55.5,55.5,48,48,48,117,247.5
50,5,110,114,268.5,270.5,90.0,98.0,1050,594,1050,110,228.9
33,10,99,108,108.0,108.0,59.5,53.0,3570,2023,3570,99,165.05
60,4,118,121,153.5,154.0,102.5,122.5,2688,840,2688,118,153.2
48,5,110,114,250.5,250.5,48.0,48.0,130,130,130,110,106.5
57,5,117,121,250.5,250.5,48.0,48.0,130,130,130,117,106.5
52,4,111,114,146.5,104.5,117.0,115.5,972,84,972,111,60.2
65,18,126,143,169.5,150.5,74.5,68.5,672,2400,4089,134,20.0
66,9,126,134,157.0,187.0,142.0,149.5,1419,992,2535,128,-39.95
0,30,55,84,88.0,88.0,50.0,50.0,711,711,711,55,-50.0
17,11,86,96,88.0,108.0,50.0,59.5,711,3570,4305,95,-76.0
51,4,111,114,108.0,107.0,61.0,61.5,3927,3744,3927,111,-212.55
59,4,118,121,90.0,88.0,50.0,50.0,747,711,747,118,-230.6
