track,frame,time,cx,cy,w,h,bbox_area,mask_area,x0,y0,x1,y1
22,88,42.9,106.0,125.0,213,21,4473,2358,0,115,212,135
22,89,42.93,80.5,122.0,162,23,3726,1412,0,111,161,133
22,90,42.97,131.0,124.5,25,10,250,28,119,120,143,129
22,91,43.0,181.5,129.5,20,8,160,115,172,126,191,133
12,79,42.6,295.0,115.5,29,18,522,230,281,107,309,124
12,80,42.63,296.0,107.0,47,27,1269,149,273,94,319,120
12,81,42.67,296.0,107.5,47,28,1316,184,273,94,319,121
12,82,42.7,301.0,113.5,37,24,888,236,283,102,319,125
12,83,42.73,304.5,109.5,30,20,600,245,290,100,319,119
12,84,42.77,296.0,138.0,19,5,95,35,287,136,305,140
35,99,43.27,297.0,55.5,13,4,52,22,291,54,303,57
35,100,43.3,297.0,55.5,13,4,52,22,291,54,303,57
35,101,43.33,297.0,55.5,13,4,52,22,291,54,303,57
35,102,43.37,297.0,55.5,13,4,52,22,291,54,303,57
35,103,43.4,297.0,55.5,13,4,52,22,291,54,303,57
35,104,43.43,297.0,55.5,13,4,52,22,291,54,303,57
35,105,43.47,297.0,55.0,13,5,65,23,291,53,303,57
35,106,43.5,297.0,55.0,13,5,65,23,291,53,303,57
35,107,43.53,297.0,55.5,13,4,52,22,291,54,303,57
4,58,41.9,296.0,55.5,15,4,60,28,289,54,303,57
4,59,41.93,296.0,55.5,15,4,60,28,289,54,303,57
4,60,41.97,296.0,55.0,15,5,75,29,289,53,303,57
4,61,42.0,296.0,55.0,15,5,75,29,289,53,303,57
4,62,42.03,296.0,55.0,15,5,75,28,289,53,303,57
4,63,42.07,296.0,55.0,15,5,75,28,289,53,303,57
4,64,42.1,296.0,55.0,15,5,75,29,289,53,303,57
4,65,42.13,297.0,55.5,13,4,52,22,291,54,303,57
4,66,42.17,297.0,55.5,13,4,52,22,291,54,303,57
4,67,42.2,297.0,55.5,13,4,52,22,291,54,303,57
4,68,42.23,297.0,55.5,13,4,52,22,291,54,303,57
25,90,42.97,207.0,70.5,31,28,868,233,192,57,222,84
25,91,43.0,203.5,71.0,32,27,864,227,188,58,219,84
25,92,43.03,186.5,64.5,34,40,1360,284,170,45,203,84
25,93,43.07,177.5,62.0,36,35,1260,349,160,45,195,79
