track,n,frame_min,frame_max,x0,x1,y0,y1,area0,area1,max_area,score
18,150,1,150,194.0,26.79,90.0,188.86,9,28,245,889.64
273,27,67,93,267.71,78.17,188.86,156.33,7,6,60,858.37
156,115,36,150,278.17,168.38,132.5,125.12,6,8,1174,815.71
155,21,36,56,308.87,194.25,126.82,178.88,114,16,121,732.99
270,84,67,150,225.14,113.6,127.29,50.8,7,5,1465,653.51
334,65,82,146,265.6,170.41,147.4,130.63,5,49,318,646.78
22,150,1,150,182.89,129.14,111.18,219.29,196,7,196,583.71
54,150,1,150,283.71,283.75,206.5,206.46,28,28,28,567.43
329,65,82,146,248.1,167.73,105.4,122.74,10,178,314,567.31
297,73,76,148,258.0,194.14,122.75,129.43,12,7,1371,555.07
189,14,47,60,260.9,169.73,128.1,133.53,106,15,106,550.58
180,50,44,93,234.4,154.29,166.8,170.19,5,31,162,509.13
56,150,1,150,216.5,192.0,213.0,213.0,6,7,8,506.5
145,120,31,150,267.7,282.3,189.2,161.2,10,20,52,475.4
274,32,68,99,217.83,126.0,129.0,121.0,6,8,94,475.17
6,150,1,150,109.6,26.0,51.2,48.0,5,5,6,470.8
190,11,47,57,248.62,179.43,129.54,127.96,13,23,49,426.77
393,22,95,116,156.0,12.43,117.95,148.57,21,7,37,410.91
31,150,1,150,196.91,199.2,137.91,219.4,11,5,35,395.62
29,150,1,150,87.4,30.5,125.4,192.5,5,8,23,390.7
250,20,60,79,224.25,160.16,155.88,178.59,8,32,36,380.78
55,150,1,150,176.0,167.43,213.0,219.29,7,7,7,377.71
36,150,1,150,86.9,36.1,154.1,188.1,10,20,31,372.4
25,150,1,150,165.83,155.0,111.67,219.25,18,8,32,367.17
66,12,3,14,220.56,154.0,84.78,46.0,9,5,47,365.98
28,150,1,150,178.36,177.0,120.64,219.25,14,8,103,362.59
420,7,100,106,213.0,112.74,118.6,101.97,5,31,31,360.77
220,5,52,56,285.5,262.2,171.8,131.4,10,5,22,352.4
286,8,72,79,220.5,156.74,149.33,126.58,6,19,19,348.29
154,116,35,150,192.6,182.28,161.8,149.82,5,120,120,348.17
219,5,52,56,291.83,274.22,169.33,156.56,6,9,9,346.5
346,23,88,110,257.17,207.0,115.33,82.17,6,6,197,330.83
119,19,18,36,123.0,2.47,131.0,91.6,5,15,18,319.6
172,12,43,54,178.29,99.25,120.64,64.5,14,12,27,318.28
179,6,44,49,198.4,128.93,164.2,184.21,5,14,24,317.21
5,150,1,150,105.5,73.6,51.0,51.2,6,5,6,316.0
216,5,52,56,295.37,298.4,132.42,148.8,19,5,19,304.94
11,14,1,14,188.46,132.4,74.59,62.6,106,5,134,303.41
39,27,1,27,110.0,0.6,154.0,148.4,5,5,23,302.2
217,5,52,56,295.4,311.5,151.6,150.0,5,8,14,300.8
58,150,1,150,148.8,188.83,219.6,219.33,5,6,6,300.0
263,30,64,93,184.5,128.4,128.0,169.2,6,5,32,297.6
296,5,76,80,179.13,105.0,123.6,130.0,30,13,43,295.77
192,10,47,56,271.25,260.29,150.0,124.23,8,102,102,295.37
4,150,1,150,101.6,77.4,51.2,51.2,5,5,6,292.6
218,5,52,56,290.6,297.17,155.8,180.33,5,6,8,291.2
191,11,47,57,260.54,246.5,150.15,104.0,13,6,20,287.29
256,32,62,93,157.88,89.33,132.5,111.83,8,6,144,285.98
337,17,83,99,275.17,301.92,87.0,165.77,6,13,33,284.33
186,11,46,56,277.4,295.71,149.2,152.43,5,7,46,276.8
26,150,1,150,42.0,23.25,113.0,202.12,5,16,61,276.25
476,31,116,146,215.71,163.24,71.43,117.26,7,50,372,270.85
129,31,24,54,176.5,125.12,158.0,68.38,6,8,80,269.12
176,6,44,49,223.8,187.39,137.8,182.33,5,18,36,268.83
479,17,117,133,210.88,147.7,115.32,65.08,25,37,320,265.29
298,5,76,80,254.6,243.17,125.2,156.67,5,6,9,253.5
10,133,1,133,47.22,26.0,53.22,48.0,9,5,9,250.87
114,5,13,17,267.33,267.7,189.0,189.2,15,10,15,246.17
367,9,91,99,201.95,135.67,45.45,80.0,22,6,48,245.57
35,9,1,9,122.46,26.67,154.86,148.33,37,6,42,234.68
195,10,47,56,254.88,294.0,165.25,180.17,8,6,37,230.35
161,14,36,49,207.0,177.69,164.0,177.38,5,29,50,229.93
