track,frame,time,cx,cy,w,h,area,x0,y0,x1,y1,mean_r,mean_g,mean_b
18,1,40.0,194.0,90.0,9,1,9,190,90,198,90,211.56,209.22,227.44
18,2,40.03,182.52,111.09,26,17,212,172,104,197,120,219.35,154.12,96.24
18,3,40.07,182.45,110.99,26,17,216,172,104,197,120,217.3,154.19,96.92
18,4,40.1,182.02,111.78,26,19,237,172,104,197,122,214.98,151.48,98.83
18,5,40.13,182.38,111.5,25,20,235,173,103,197,122,217.51,152.84,97.03
18,6,40.17,182.09,111.13,26,21,245,172,102,197,122,217.21,151.8,101.18
18,7,40.2,183.07,110.31,26,18,245,172,103,197,120,211.22,155.91,95.49
18,8,40.23,182.68,110.83,26,18,209,172,103,197,120,214.52,153.47,91.95
18,9,40.27,183.15,110.81,24,18,200,174,103,197,120,215.06,150.31,86.18
18,10,40.3,183.32,110.95,24,17,195,174,104,197,120,218.74,147.28,82.38
18,11,40.33,183.08,111.02,25,17,202,173,104,197,120,221.43,148.9,89.16
18,12,40.37,183.08,111.02,25,17,202,173,104,197,120,219.77,148.99,88.77
18,13,40.4,183.08,111.02,25,17,202,173,104,197,120,219.63,149.03,88.78
18,14,40.43,183.08,111.02,25,17,202,173,104,197,120,219.54,149.19,88.88
18,15,40.47,183.08,111.02,25,17,202,173,104,197,120,219.54,149.19,88.88
18,16,40.5,183.08,111.02,25,17,202,173,104,197,120,219.54,149.19,88.88
18,17,40.53,183.08,111.02,25,17,202,173,104,197,120,219.54,149.19,88.9
18,18,40.57,183.08,111.02,25,17,202,173,104,197,120,219.54,149.19,88.9
18,19,40.6,183.08,111.02,25,17,202,173,104,197,120,219.54,149.19,88.9
18,20,40.63,183.08,111.02,25,17,202,173,104,197,120,219.54,149.19,88.88
18,21,40.67,183.08,111.02,25,17,202,173,104,197,120,219.54,149.19,88.88
18,22,40.7,183.08,111.02,25,17,202,173,104,197,120,219.54,149.19,88.88
18,23,40.73,183.08,111.02,25,17,202,173,104,197,120,219.54,149.19,88.88
18,24,40.77,183.08,111.02,25,17,202,173,104,197,120,219.54,149.19,88.88
18,25,40.8,183.08,111.02,25,17,202,173,104,197,120,219.54,149.19,88.88
18,26,40.83,183.08,111.02,25,17,202,173,104,197,120,219.54,149.19,88.88
18,27,40.87,183.08,111.02,25,17,202,173,104,197,120,220.42,149.31,87.85
18,28,40.9,183.08,111.02,25,17,202,173,104,197,120,220.43,149.32,87.88
18,29,40.93,183.08,111.02,25,17,202,173,104,197,120,220.39,149.28,87.82
18,30,40.97,183.08,111.02,25,17,202,173,104,197,120,220.43,149.32,87.86
18,31,41.0,183.08,111.02,25,17,202,173,104,197,120,220.43,149.31,87.86
18,32,41.03,183.0,110.98,25,17,204,173,104,197,120,220.06,149.27,88.62
18,33,41.07,183.0,110.98,25,17,204,173,104,197,120,220.05,149.26,88.65
18,34,41.1,183.0,110.98,25,17,204,173,104,197,120,220.05,149.27,88.64
18,35,41.13,183.0,110.98,25,17,204,173,104,197,120,220.05,149.26,88.65
18,36,41.17,183.0,110.98,25,17,204,173,104,197,120,220.07,149.26,88.65
18,37,41.2,183.0,110.98,25,17,204,173,104,197,120,220.05,149.26,88.65
18,38,41.23,183.0,110.98,25,17,204,173,104,197,120,220.06,149.27,88.62
18,39,41.27,183.09,110.82,25,16,200,173,104,197,119,219.69,148.29,86.62
18,40,41.3,183.09,110.82,25,16,200,173,104,197,119,219.69,148.32,86.72
18,41,41.33,183.09,110.82,25,16,200,173,104,197,119,219.58,148.27,86.47
18,42,41.37,182.61,111.59,25,19,218,173,104,197,122,218.91,146.84,90.54
18,43,41.4,182.95,110.92,25,16,203,173,104,197,119,220.15,148.74,88.46
18,44,41.43,183.13,110.88,25,17,201,173,104,197,120,220.49,148.8,87.93
18,45,41.47,183.09,110.91,25,17,202,173,104,197,120,220.73,149.01,88.59
18,46,41.5,183.06,111.0,26,17,202,172,104,197,120,219.65,149.54,86.58
18,47,41.53,190.16,131.51,10,6,37,186,129,195,134,203.05,136.43,124.76
18,48,41.57,183.77,130.19,10,6,31,180,128,189,133,190.58,143.06,101.16
18,49,41.6,176.85,131.5,8,5,26,174,130,181,134,197.35,139.85,123.27
18,50,41.63,174.62,129.78,9,7,32,171,127,179,133,196.25,132.88,115.19
18,51,41.67,169.42,129.21,8,4,24,166,128,173,131,213.96,144.17,124.62
18,52,41.7,163.11,130.44,10,6,36,158,128,167,133,199.5,120.25,114.67
18,53,41.73,163.11,130.44,10,6,36,158,128,167,133,199.5,120.25,114.67
18,54,41.77,159.83,132.67,4,2,6,158,132,161,133,169.0,122.67,136.0
18,55,41.8,150.67,131.67,2,4,6,150,130,151,133,168.0,86.83,96.0
18,56,41.83,148.5,131.67,2,4,6,148,130,149,133,154.5,101.33,123.17
18,57,41.87,133.74,131.63,11,6,35,129,129,139,134,188.06,120.14,120.09
18,58,41.9,125.0,130.14,6,4,14,122,129,127,132,203.21,130.86,113.5
18,59,41.93,121.53,130.11,8,4,19,118,129,125,132,200.32,127.05,126.05
18,60,41.97,113.5,130.28,8,4,18,110,129,117,132,189.78,121.94,111.44
18,61,42.0,109.0,130.14,6,4,14,106,129,111,132,193.64,133.29,113.29
18,62,42.03,103.68,130.45,8,4,22,100,129,107,132,191.14,117.27,105.09
18,63,42.07,98.81,130.31,6,4,16,96,129,101,132,187.88,121.56,116.88
18,64,42.1,89.85,131.77,5,5,13,88,130,92,134,191.62,133.15,123.23
18,65,42.13,86.67,132.0,6,4,15,84,131,89,134,180.27,126.33,121.4
18,66,42.17,76.65,133.04,6,5,23,74,131,79,135,204.57,139.22,145.35
18,67,42.2,73.53,132.07,8,4,15,70,131,77,134,179.93,125.47,131.87
18,68,42.23,70.78,132.67,5,3,9,69,132,73,134,181.0,134.67,131.22
18,69,42.27,69.55,132.27,4,4,11,68,131,71,134,179.45,135.27,132.73
18,70,42.3,67.55,132.27,4,4,11,66,131,69,134,179.45,135.27,132.73
18,71,42.33,61.55,132.27,4,4,11,60,131,63,134,179.45,135.27,132.73
18,72,42.37,98.58,130.25,6,3,12,96,129,101,131,214.58,129.75,109.42
18,73,42.4,93.26,132.78,9,5,27,89,131,97,135,173.37,135.04,124.15
18,74,42.43,84.09,133.43,8,4,23,80,132,87,135,185.04,135.26,119.39
18,75,42.47,81.06,133.22,7,4,18,78,132,84,135,184.33,132.22,117.61
18,76,42.5,74.09,133.43,8,4,23,70,132,77,135,185.04,135.26,119.39
18,77,42.53,72.09,133.43,8,4,23,68,132,75,135,185.04,135.26,119.39
18,78,42.57,69.6,134.3,4,5,10,68,132,71,136,161.8,137.3,135.8
18,79,42.6,76.47,169.96,18,21,110,68,162,85,182,138.55,208.55,99.62
18,80,42.63,36.5,188.36,6,4,22,34,187,39,190,189.18,184.27,100.27
18,81,42.67,36.5,188.17,6,5,24,34,186,39,190,185.58,188.0,99.96
18,82,42.7,36.5,188.17,6,5,24,34,186,39,190,172.08,174.33,86.17
18,83,42.73,36.52,188.26,6,5,23,34,186,39,190,173.22,172.0,85.78
18,84,42.77,36.5,188.17,6,5,24,34,186,39,190,185.67,188.25,100.04
18,85,42.8,36.5,188.17,6,5,24,34,186,39,190,186.33,188.67,100.54
18,86,42.83,36.5,188.36,6,4,22,34,187,39,190,165.27,160.27,76.23
18,87,42.87,36.52,188.26,6,5,23,34,186,39,190,173.0,172.04,85.7
18,88,42.9,36.52,188.26,6,5,23,34,186,39,190,176.61,175.74,89.48
